City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
181,Pisco,PE,-13.7,-76.2167,66.25,82,0,16.11,clear sky
182,Waddan,LY,29.1614,16.139,51.69,50,0,0.94,clear sky
183,Kaeo,NZ,-35.1,173.7833,70.32,64,94,12.64,overcast clouds
184,Chuy,UY,-33.6971,-53.4616,68.94,91,37,13.11,scattered clouds
185,Rocha,UY,-34.4833,-54.3333,67.37,94,8,11.99,clear sky
186,Fukue,JP,32.6881,128.8419,46.76,53,75,19.57,broken clouds
187,Benguela,AO,-12.5763,13.4055,75.9,82,100,4.43,light rain
188,Balsas,BR,-7.5325,-46.0356,73.44,91,100,1.68,overcast clouds
189,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,54,0,8.05,clear sky
190,Semenivka,UA,52.1783,32.5818,26.94,78,100,12.33,overcast clouds
191,Jiazi,CN,22.8779,116.067,58.73,77,99,15.03,overcast clouds
192,Alekseyevka,RU,50.6309,38.6903,24.8,56,100,11.99,overcast clouds
193,Shingu,JP,33.7333,135.9833,52.97,49,80,3.69,broken clouds
194,Cayenne,GF,4.9333,-52.3333,75.24,94,75,5.75,mist
195,Aklavik,CA,68.2191,-135.0107,3.16,97,100,4.0,overcast clouds
196,Rayong,TH,12.8333,101.4333,85.84,77,92,2.48,overcast clouds
197,Rumia,PL,54.5709,18.388,36.45,88,100,5.5,overcast clouds
198,Samarai,PG,-10.6167,150.6667,84.27,74,100,3.33,overcast clouds
199,Vardo,NO,70.3705,31.1107,31.98,86,100,8.05,overcast clouds
200,Atasu,KZ,48.6814,71.6433,14.56,96,100,1.43,light snow
201,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.43,92,100,15.82,overcast clouds
202,Padang,ID,-0.9492,100.3543,80.65,94,100,4.41,overcast clouds
203,Dikson,RU,73.5069,80.5464,22.6,95,100,13.33,overcast clouds
204,Qaanaaq,GL,77.484,-69.3632,-22.56,82,17,3.29,few clouds
205,Eureka,US,40.8021,-124.1637,49.24,92,100,10.0,moderate rain
206,Mahon,ES,39.8885,4.2658,46.96,87,0,8.05,clear sky
207,Puerto De La Cruz,ES,28.414,-16.5487,68.77,74,67,1.99,broken clouds
208,Kaka,TM,37.3482,59.6143,46.2,61,100,6.15,overcast clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,73.71,73,0,4.61,clear sky
210,Christchurch,NZ,-43.5333,172.6333,69.42,49,1,4.61,clear sky
211,North Platte,US,41.1239,-100.7654,26.08,67,0,14.0,clear sky
